SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,RSI
AUTOAXLES,1319.0,1354.0,1319.0,1343.35,1330.25,39.45795137504981
AUTOIND,68.75,69.3,66.9,68.35,68.75,70.66115702479335
AUTOLITIND,41.8,41.8,40.0,40.3,41.3,50.68493150684938
AVADHSUGAR,390.0,409.7,390.0,395.9,389.15,96.72447013487489
AVANTIFEED,377.0,382.45,374.1,375.95,378.45,12.195121951219477
AVG,76.2,76.2,76.2,76.2,80.6,0.0
AVTNPL,26.5,27.1,26.25,26.6,26.75,0.0
AXISBANK,612.0,624.75,609.5,619.6,607.95,43.742824339839316
AXISCADES,83.4,83.8,82.2,82.7,83.45,0.0
AXISGOLD,2825.0,2825.0,2805.0,2824.15,2826.0,78.05413313825893
AXISNIFTY,1120.0,1129.0,1079.07,1092.28,1129.0,44.01681334559296
AYMSYNTEX,41.85,41.9,40.2,41.0,41.35,0.0
BAFNAPHARM,11.45,11.75,11.3,11.5,11.4,0.0
BAGFILMS,4.8,4.9,4.8,4.85,4.85,0.0
BAJAJ-AUTO,2714.0,2742.0,2702.1,2734.2,2701.35,59.70930232558129
BAJAJCORP,377.0,384.75,374.1,382.5,375.9,92.02226345083477
BAJAJELEC,498.25,501.8,484.6,490.05,497.75,40.73139974779322
BAJAJFINSV,6419.95,6460.0,6357.0,6410.45,6383.3,30.47518479408656
BAJAJHIND,9.2,9.3,9.05,9.1,9.15,0.0
BAJAJHLDNG,2960.05,3000.0,2948.0,2951.65,2977.25,62.05882352941175
BAJFINANCE,2601.0,2611.9,2563.65,2576.05,2586.2,21.43898881866781
BALAJITELE,90.05,91.55,89.0,89.8,89.35,32.92682926829258
BALAMINES,453.15,456.55,450.0,452.0,452.85,49.429657794676686
BALKRISHNA,50.2,50.85,49.0,49.45,50.15,0.0
BALKRISIND,901.05,908.7,885.15,891.8,900.75,29.696394686906956
BALLARPUR,5.45,5.5,5.4,5.45,5.45,0.0
BALMLAWRIE,198.25,201.3,196.85,200.15,197.35,46.39639639639649
BALPHARMA,82.3,83.0,78.8,79.85,81.35,53.08641975308625
BALRAMCHIN,108.0,113.0,107.4,109.2,107.65,0.0
BANARBEADS,46.15,49.35,46.15,47.6,47.25,47.56097560975607
BANARISUG,1530.3,1530.3,1481.95,1493.95,1501.4,58.63602668643443
BANCOINDIA,182.75,184.95,181.85,184.55,182.55,35.39823008849572
BANDHANBNK,534.25,541.7,527.05,528.9,533.8,42.85714285714282
BANG,58.0,62.9,57.2,61.0,58.6,51.020408163265294
BANKBARODA,120.4,122.4,118.5,121.7,119.3,60.79295154185023
BANKBEES,2757.95,2780.0,2742.85,2774.75,2749.46,53.0590717299579
BANKINDIA,106.1,109.3,105.3,108.7,105.75,71.75141242937852
BANSAL,30.25,30.25,30.25,30.25,28.85,0.0
BANSWRAS,82.85,82.85,79.75,80.1,80.5,33.606557377049086
BARTRONICS,7.25,7.35,7.25,7.25,7.25,0.0
BASF,1550.0,1556.95,1530.05,1543.8,1556.95,26.816539542352416
BASML,205.0,219.75,204.95,205.8,204.95,42.32804232804226
BATAINDIA,1121.0,1125.05,1094.0,1116.5,1113.0,11.986301369863
BAYERCROP,4219.0,4279.35,4180.0,4245.25,4214.1,32.14788732394362
BBL,1158.4,1160.05,1148.0,1150.9,1150.65,21.815519765739467
BBTC,1303.0,1308.8,1282.0,1291.65,1298.65,12.533692722371711
BCG,2.65,2.7,2.6,2.7,2.65,0.0
BCONCEPTS,34.5,35.1,34.5,35.1,36.0,0.0
BDL,273.05,279.25,273.05,275.15,277.7,42.3999999999999
BEARDSELL,24.0,24.5,23.25,23.95,23.8,52.06611570247936
BEDMUTHA,21.65,22.5,21.65,22.4,22.2,0.0
BEL,88.9,92.15,88.5,91.85,88.8,78.51851851851848
BEML,890.0,896.5,860.0,880.6,886.65,29.179104477611915
BEPL,88.5,90.6,87.2,88.55,89.05,37.61467889908249
BERGEPAINT,323.7,329.85,320.7,323.1,325.1,18.723404255319053
BETA,78.0,78.0,75.35,75.45,78.0,0.0
BFINVEST,250.5,255.4,245.45,247.55,249.15,65.27545909849752
BFUTILITIE,224.1,225.5,217.6,220.55,223.0,82.32189973614777
BGLOBAL,2.85,2.95,2.8,2.95,2.9,0.0
BGRENERGY,59.6,60.65,58.6,59.95,59.85,0.0
BHAGERIA,285.5,286.0,280.2,282.8,283.45,28.73563218390808
BHAGYANGR,32.1,33.85,32.05,33.55,32.05,75.78947368421053
BHAGYAPROP,28.0,29.05,27.65,28.6,28.25,37.49999999999995
BHANDARI,2.05,2.1,2.0,2.05,2.05,0.0
BHARATFIN,990.0,1000.5,982.45,988.65,992.9,24.72613458528967
BHARATFORG,488.95,494.4,483.05,487.15,487.5,13.45454545454541
BHARATGEAR,162.35,163.5,160.1,162.3,162.25,21.4876033057849
BHARATIDIL,2.85,2.9,2.85,2.9,2.95,0.0
BHARATRAS,5229.6,5290.0,5201.1,5278.45,5262.7,56.160896130346174
